7zip 26.03-1
abseil-cpp 20260817.0-2
acl 2.4.0-1
adwaita-cursors 50.0-1
adwaita-fonts 51.0-2
adwaita-icon-theme 50.0-1
adwaita-icon-theme-legacy 46.2-3
alacritty 0.17.0-1
alsa-card-profiles 1:1.6.8-1
alsa-lib 1.2.16.1-1
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.16.1-1
aom 3.15.0-1
archlinux-keyring 20260909-1
at-spi2-core 2.60.7-1
attr 2.6.0-1
audit 4.2.1-1
autoconf 2.73-1
automake 1.18.1-1
avahi 1:0.9rc5-1
base 3-3
base-devel 1-2
bash 5.3.20-1
bind 9.20.29-1
binutils 2.47-4
bison 3.8.2-8
bluetooth-autoconnect 1.3-1
bluez 5.87-2
bluez-libs 5.87-2
bluez-utils 5.87-2
boost-libs 1.92.0-1
booster 0.13-1
brave-nightly-bin 1.98.18-1
brightnessctl 0.5.1-3
brotli 1.2.0-1
bubblewrap 0.12.0-1
bzip2 1.0.8-6
ca-certificates 20240618-1
ca-certificates-mozilla 3.129-1
ca-certificates-utils 20240618-1
caddy 2.11.4-1
cairo 1.18.4-1
ccache 4.14-1
cifs-utils 7.5-1
coreutils 9.11-2
cpio 2.15-3
cryptsetup 2.8.8-1
curl 8.22.0-1
dav1d 1.5.4-1
db5.3 5.3.28-7
dbus 1.16.2-1
dbus-broker 37-3
dbus-broker-units 37-3
dconf 0.49.0-1
debugedit 5.3-2
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.42-1
dgop 1.6.2-1
diffutils 3.12-2
dnssec-anchors 20250524-1
duktape 2.7.0-7
e2fsprogs 1.47.4-1
elfutils 0.196-1
ell 0.83-1
expat 2.8.4-1
fakeroot 1:1.37.2-3
fastfetch 2.68.1-1
ffmpeg 2:9.0.1-4
fftw 3.3.11-1
file 5.48-1
filesystem 2025.10.12-1
findutils 4.11.0-1
flac 1.5.0-1
flex 2.6.4-6
fmt 12.2.0-1
fontconfig 2:2.18.3-2
freetype2 2.14.3-1
fribidi 1.0.16-2
gawk 5.4.1-1
gc 8.2.12-1
gcc 16.2.1+r23+gd564253eb6c8-1
gcc-libs 16.2.1+r23+gd564253eb6c8-1
gdb 17.2-1
gdb-common 17.2-1
gdbm 1.26-2
gdk-pixbuf2 2.44.7-1
gettext 1.0-2
giflib 6.1.3-2
git 2.55.0-1
glib-networking 1:2.80.1-1
glib2 2.88.3-1
glibc 2.44+r24+g16be1518495f-1
glslang 1:1.4.357.0-1
glycin 2.1.5-2
gmp 6.3.0-3
gnulib-l10n 20241231-1
gnupg 2.4.9-3
gnutls 3.8.13-3
gobject-introspection-runtime 1.86.0-2
gperftools 2.18.1-1
gpgme 2.2.0-1
graphite 1:1.3.15-1
grep 3.12-2
grim 1.5.0-2
groff 1.24.1-1
gsettings-desktop-schemas 50.1-1
gsettings-system-schemas 50.1-1
gsm 1.0.24-1
gtest 1.18.0-1
gtk-update-icon-cache 1:4.22.5-1
gtk3 1:3.24.52-1
guile 3.0.11-1
gzip 1.15-1
harfbuzz 14.5.0-1
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1
highway 1.4.0-1
hiredis 1.3.0-1
hwdata 0.411-1
hwloc 2.14.0-1
iana-etc 20260617-1
icu 78.3-1
intel-gmmlib 22.10.0-1
intel-media-driver 26.2.4-1
intel-ucode 20260812-1
iproute2 7.2.0-1
iptables 1:1.8.13-1
iputils 20250605-1
iso-codes 4.20.1-1
iwd 3.12-2
jansson 2.15.1-1
jbigkit 2.1-8
jemalloc 1:5.4.0-1
json-c 0.19-1
json-glib 1.10.8-1
kbd 2.10.0-1
keyutils 1.6.3-4
kmod 34.2-1
krb5 1.22.2-1
l-smash 2.14.5-4
lame 4.0-1
lcms2 2.19.1-1
ldb 2:4.24.7-1
leancrypto 1.9.0-1
libarchive 3.8.9-1
libasan 16.2.1+r23+gd564253eb6c8-1
libass 0.17.5-1
libassuan 3.0.0-1
libasyncns 1:0.8+r3+g68cd5af-3
libatomic 16.2.1+r23+gd564253eb6c8-1
libavc1394 0.5.4-7
libblake3 1.8.7-1
libbluray 1.5.1-1
libbpf 1.7.0-1
libbs2b 3.1.0-10
libbsd 0.12.2-2
libcap 2.78-1
libcap-ng 0.9.6-1
libcdio 2.4.0-1
libcdio-paranoia 10.2+2.0.2-3
libcloudproviders 0.4.1-1
libcolord 1.4.8-1
libcups 2:2.4.19-1
libdaemon 0.14-6
libdatrie 0.2.14-1
libdeflate 1.26-1
libdisplay-info 0.3.0-1
libdovi 3.4.0-1
libdrm 2.4.134-1
libdvdnav 7.0.0-1
libdvdread 7.1.1-1
libebur128 1.2.6-2
libedit 20260512_3.1-1
libelf 0.196-1
libepoxy 1.5.10-3
libevdev 1.13.7-1
libevent 2.1.13-2
libfdk-aac 2.0.3-2
libffi 3.8.0-1
libfreeaptx 0.2.2-1
libgcc 16.2.1+r23+gd564253eb6c8-1
libgcrypt 1.12.4-1
libgfortran 16.2.1+r23+gd564253eb6c8-1
libgirepository 1.86.0-2
libglvnd 1.7.0-3
libgomp 16.2.1+r23+gd564253eb6c8-1
libgpg-error 1.61-1
libgudev 238-3
libhwasan 16.2.1+r23+gd564253eb6c8-1
libidn2 2.3.8-1
libiec61883 1.2.0-9
libimobiledevice 1.4.0-2
libimobiledevice-glue 1.3.2-1
libinput 1.32.0-1
libisl 0.28-1
libjpeg-turbo 3.2.0-2
libjxl 0.12.0-1
libksba 1.8.1-1
liblc3 1.1.3-2
libldac 2.0.2.6-1
libldap 2.7.1-1
libliftoff 0.5.0-1
liblsan 16.2.1+r23+gd564253eb6c8-1
libmakepkg-dropins 20-2
libmaxminddb 1.14.1-1
libmd 1.2.0-1
libmnl 1.0.5-2
libmodplug 0.8.9.0-7
libmpc 1.4.1-1
libmysofa 1.3.5-1
libnetfilter_conntrack 1.1.1-1
libnfnetlink 1.0.2-2
libnftnl 1.3.2-1
libnghttp2 1.70.0-1
libnghttp3 1.18.0-1
libngtcp2 1.25.0-1
libnl 3.12.0-1
libnotify 0.8.8-1
libnsl 2.0.1-2
libobjc 16.2.1+r23+gd564253eb6c8-1
libogg 1.3.6-1
libopenmpt 0.8.9-1
libp11-kit 0.26.5-1
libpcap 1.11.0-1
libpciaccess 0.19-1
libpgm 5.3.128-4
libpipewire 1:1.6.8-1
libplacebo 7.360.1-6
libplist 2.7.0-3
libpng 1.6.58-2
libproxy 0.5.12-1
libpsl 0.21.5-2
libpulse 17.0+r98+gb096704c0-1
libquadmath 16.2.1+r23+gd564253eb6c8-1
libraw1394 2.1.2-4
librsvg 2:2.62.3-1
libsamplerate 0.2.2-3
libsasl 2.1.28-5
libseccomp 2.6.0-1
libsecret 0.21.8.2-1
libsixel 1.10.5-1
libsndfile 1.2.2-4
libsodium 1.0.22-1
libsoup3 3.6.6-2
libsoxr 0.1.3-5
libssh 0.12.2-1
libssh2 1.11.1-7
libstdc++ 16.2.1+r23+gd564253eb6c8-1
libstemmer 3.1.1-1
libsysprof-capture 50.0-6
libtasn1 4.21.0-1
libtatsu 1.0.5-1
libthai 0.1.30-1
libtheora 1.2.0-1
libtiff 4.7.2-1
libtirpc 1.3.8-1
libtool 2.6.2-5
libtsan 16.2.1+r23+gd564253eb6c8-1
libubsan 16.2.1+r23+gd564253eb6c8-1
libunibreak 7.0-1
libunistring 1.4.2-1
libunwind 1.8.3-1
liburcu 0.15.7-1
liburing 2.15-1
libusb 1.0.30-1
libusbmuxd 2.1.1-2
libuv 1.52.1-2
libva 2.24.1-1
libva-utils 2.24.0-1
libvdpau 1.5-4
libverto 0.3.2-6
libvorbis 1.3.7-4
libvpl 2.17.0-1
libvpx 1.17.0-1
libwacom 2.20.0-1
libwbclient 2:4.24.7-1
libwebp 1.6.0-2
libwireplumber 0.5.17-1
libx11 1.8.13-1
libxau 1.0.12-1
libxcb 1.17.0-1
libxcomposite 0.4.7-1
libxcrypt 4.5.2-1
libxcursor 1.2.3-1
libxdamage 1.1.7-1
libxdmcp 1.1.5-2
libxext 1.3.7-1
libxfixes 6.0.2-1
libxft 2.3.9-1
libxi 1.8.3-1
libxinerama 1.1.6-1
libxkbcommon 1.13.2-1
libxkbcommon-x11 1.13.2-1
libxml2 2.15.4-1
libxpresent 1.0.2-1
libxrandr 1.5.5-1
libxrender 0.9.12-1
libxshmfence 1.3.3-1
libxss 1.2.5-1
libxtst 1.2.5-1
libxv 1.0.13-1
libxxf86vm 1.1.7-1
libyaml 0.2.5-3
licenses 20240728-1
lilv 0.28.0-1
linux 7.2.6.arch2-1
linux-api-headers 7.2-1
linux-firmware-intel 20260916-1
linux-firmware-whence 20260916-1
llvm-libs 22.1.8-2
lm_sensors 1:3.6.2-1
lmdb 0.9.35-1
lua 5.5.1-1
lua54 5.4.9-1
luajit 2.1.1788856981+c6ffc14-1
lv2 1.18.10-2
lz4 1:1.10.0-2
lzo 2.10-5
m4 1.4.21-2
mailcap 2.1.54-3
make 4.4.1-3
mako 1.11.0-1
mesa 1:26.2.3-1
mold 2.42.1-1
mpdecimal 4.0.1-3
mpfr 4.2.2-1
mpg123 1.33.7-1
mpv 1:0.41.0-6
mtdev 1.1.7-1
mujs 1.3.10-1
nano 9.2-1
ncurses 6.6-2
nettle 4.0-1
nftables 1:1.1.7-3
npth 1.8-1
nspr 4.40-1
nss 3.129-1
ocl-icd 2.3.5-1
onetbb 2023.1.0-1
oniguruma 6.9.10-1
openal 1.25.2-2
opencore-amr 0.1.6-2
openjpeg2 2.5.4-1
openssl 3.6.4-1
opus 1.6.1-1
p11-kit 0.26.5-1
pacman 7.1.0.r9.g54d9411-2
pacman-mirrorlist 20260610-1
pam 1.7.2-2
pambase 20260616-1
pango 1:1.58.2-1
patch 2.8-1
pciutils 3.15.0-1
pcre2 10.48-1
perl 5.42.2-2
perl-error 0.17030-3
perl-mailtools 2.22-3
perl-timedate 2.35-1
pinentry 1.3.3-1
pipewire 1:1.6.8-1
pipewire-alsa 1:1.6.8-1
pipewire-audio 1:1.6.8-1
pipewire-jack 1:1.6.8-1
pipewire-pulse 1:1.6.8-1
pixman 0.46.4-1
pkgconf 3.0.7-1
polkit 127-3
popt 1.19-2
portaudio 1:19.7.0-4
procps-ng 4.0.7-1
psmisc 23.7-2
python 3.14.7-1
python-dbus 1.4.0-2
python-dbus-next 0.2.3-8
python-gobject 3.56.3-1
python-prctl 1.8.1-9
python-yaml 6.0.3-2
rav1e 0.8.1-3
readline 8.3.6-1
reflector 2023-5
rubberband 4.0.0-2
samba 2:4.24.7-1
sbc 2.2-1
sdl2-compat 2.32.72-1
sdl3 3.4.16-1
searxng-git r9790.019460e-1
seatd 0.9.3-1
sed 4.10-2
serd 0.32.10-1
shaderc 2026.3-1
shadow 4.20.0.arch1-1
shared-mime-info 2.5.1-2
sing-box 1.14.1-2
smbclient 2:4.24.7-1
snappy 1.2.2-3
sndio 1.10.0-1
sord 0.16.22-1
sound-theme-freedesktop 0.8-6
source-highlight 3.1.9-19
spandsp 0.0.6-7
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 1:1.4.357.0-1
sqlite 3.53.4-1
sratom 0.6.22-1
srt 1.5.7-1
sudo 1.9.17.p2-6
svt-av1 4.2.0-1
systemd 261.3-1
systemd-libs 261.3-1
systemd-sysvcompat 261.3-1
talloc 2.5.0-2
tar 1.35-5
tdb 1.4.15-2
tevent 1:0.17.2-2
texinfo 7.3-1
throttled 0.12-1
tinysparql 3.11.1-1
tpm2-tss 4.2.0-2
ttf-0xproto-nerd 3.5.1-2
ttf-bitstream-vera 1.10-16
tzdata 2026d-1
uchardet 0.0.8-4
ufw 0.36.2-7
upower 1.91.4-1
util-linux 2.42.3-1
util-linux-libs 2.42.3-1
v4l-utils 1.32.0-2
valkey 9.1.2-1
vapoursynth 79-1
vid.stab 1.1.2-1
vmaf 3.2.1-1
vulkan-icd-loader 1.4.357.0-1
wayland 1.26.0-1
wayland-protocols 1.49-1
webrtc-audio-processing-1 1.3-5
which 2.25-1
wireplumber 0.5.17-1
wlroots0.20 0.20.2-1
wmenu 0.2.0-1
x264 3:0.165.r3222.b35605a-2
x265 4.3-1
xcb-proto 1.17.0-4
xcb-util-errors 1.0.1-2
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xkeyboard-config 2.48-1
xorg-xprop 1.2.8-1
xorgproto 2025.1-1
xvidcore 1.3.7-4
xxhash 0.8.4-1
xz 5.8.4-1
yay 13.0.1-1
yazi 26.9.1-2
yyjson 0.13.0-1
zeromq 4.3.5-3
zimg 3.0.6-2
zix 0.8.2-1
zlib 1:1.3.2-3
zlib-ng 2.3.3-1
zsh 5.9.2-1
zsh-autosuggestions 0.7.1-1
zsh-syntax-highlighting 0.8.0-2
zstd 1.5.7-3
